# Compton profile shell occupancies
#
# Number of electrons in each atomic subshell for which G4EMLOW tabulates a
# Compton profile, in the order the profiles appear in profile-<Z>.dat.
#
# Source: F. Biggs, L. B. Mendelsohn and J. B. Mann, "Hartree-Fock Compton
# profiles for the elements", At. Data Nucl. Data Tables 16, 201-309 (1975),
# as tabulated in the DABAX file ComptonProfiles.dat (#UOCCUP keyword), from
# https://github.com/oasys-kit/DabaxFiles at commit 70ff903 (MIT licence).
# The DABAX profiles are identical to G4EMLOW profile-<Z>.dat to all tabulated
# digits for Z = 1-100, and its #UOCCUP is aligned column-for-column with
# them, so these occupancies refer to the same subshell as each profile.
#
# The occupancies in G4EMLOW shell-doppler.dat cannot be used: they follow the
# ordering of Geant4 G4AtomicShells (subshells sorted by decreasing binding
# energy) rather than the (n, l, j) ordering of the profiles and of the
# binding energies in the same file. For Z = 43 and 59-92 the two orderings
# differ and the occupancy does not belong to the subshell it is paired with.
#
# j0 is the profile value at pz = 0, carried as a fingerprint so that
# make_compton.py can verify each occupancy is still matched to the profile it
# was derived against.
#
#   Z  shell  electrons        j0
   75      3          2         0.0173
   75      4          4         0.0192
   75      5          2         0.0781
   75      6          2         0.0458
   75      7          4         0.0491
   75      8          4         0.0318
   75      9          6         0.0325
   75     10          2          0.163
   75     11          2          0.103
   75     12          4           0.11
   75     13          4         0.0842
   75     14          6         0.0862
   75     15          6         0.0777
   75     16          8         0.0782
   75     17          2          0.412
   75     18          2          0.279
   75     19          4            0.3
   75     20          4          0.327
   75     21          1          0.346
   75     22          2           1.49
   76      1          2         0.0098
   76      2          2         0.0348
   76      3          2          0.017
   76      4          4         0.0189
   76      5          2         0.0767
   76      6          2          0.045
   76      7          4         0.0482
   76      8          4         0.0312
   76      9          6          0.032
   76     10          2           0.16
   76     11          2          0.101
   76     12          4          0.108
   76     13          4         0.0822
   76     14          6         0.0842
   76     15          6         0.0744
   76     16          8         0.0751
   76     17          2          0.397
   76     18          2          0.268
   76     19          4           0.29
   76     20          4          0.307
   76     21          2          0.324
   76     22          2           1.44
   77      1          2        0.00962
   77      2          2         0.0342
   77      3          2         0.0167
   77      4          4         0.0187
   77      5          2         0.0753
   77      6          2         0.0442
   77      7          4         0.0475
   77      8          4         0.0307
   77      9          6         0.0314
   77     10          2          0.156
   77     11          2         0.0986
   77     12          4          0.106
   77     13          4         0.0803
   77     14          6         0.0822
   77     15          6         0.0716
   77     16          8         0.0723
   77     17          2          0.384
   77     18          2          0.258
   77     19          4          0.281
   77     20          4          0.291
   77     21          3          0.306
   77     22          2            1.4
   78      1          2        0.00946
   78      2          2         0.0336
   78      3          2         0.0164
   78      4          4         0.0184
   78      5          2          0.074
   78      6          2         0.0434
   78      7          4         0.0467
   78      8          4         0.0302
   78      9          6         0.0309
   78     10          2          0.153
   78     11          2         0.0964
   78     12          4          0.104
   78     13          4         0.0784
   78     14          6         0.0803
   78     15          6          0.069
   78     16          8         0.0698
   78     17          2          0.375
   78     18          2           0.25
   78     19          4          0.274
   78     20          4          0.287
   78     21          5          0.304
   78     22          1           1.45
   79      1          2        0.00929
   79      2          2         0.0331
   79      3          2         0.0161
   79      4          4         0.0181
   79      5          2         0.0727
   79      6          2         0.0426
   79      7          4         0.0459
   79      8          4         0.0297
   79      9          6         0.0304
   79     10          2           0.15
   79     11          2         0.0943
   79     12          4          0.102
   79     13          4         0.0767
   79     14          6         0.0785
   79     15          6         0.0666
   79     16          8         0.0675
   79     17          2          0.363
   79     18          2          0.242
   79     19          4          0.266
   79     20          4          0.273
   79     21          6          0.288
   79     22          1           1.41
   80      1          2        0.00913
   80      2          2         0.0325
   80      3          2         0.0158
   80      4          4         0.0179
   80      5          2         0.0714
   80      6          2         0.0418
   80      7          4         0.0452
   80      8          4         0.0292
   80      9          6           0.03
   80     10          2          0.147
   80     11          2         0.0923
   80     12          4         0.0995
   80     13          4          0.075
   80     14          6         0.0768
   80     15          6         0.0645
   80     16          8         0.0653
   80     17          2           0.35
   80     18          2          0.233
   80     19          4          0.256
   80     20          4          0.252
   80     21          6          0.265
   80     22          2           1.29
   81      1          2        0.00898
   81      2          2          0.032
   81      3          2         0.0155
   81      4          4         0.0176
   81      5          2         0.0702
   81      6          2         0.0411
   81      7          4         0.0445
   81      8          4         0.0287
   81      9          6         0.0295
   81     10          2          0.144
   81     11          2         0.0903
   81     12          4         0.0976
   81     13          4         0.0733
   81     14          6         0.0751
   81     15          6         0.0625
   81     16          8         0.0633
   81     17          2          0.337
   81     18          2          0.224
   81     19          4          0.246
   81     20          4          0.235
   81     21          6          0.244
   81     22          2           1.15
   81     23          1          0.913
   82      1          2        0.00882
   82      2          2         0.0314
   82      3          2         0.0153
   82      4          4         0.0174
   82      5          2         0.0689
   82      6          2         0.0403
   82      7          4         0.0438
   82      8          4         0.0283
   82      9          6          0.029
   82     10          2          0.141
   82     11          2         0.0884
   82     12          4         0.0957
